CustomerID,Age,Gender,Geography,Income,CreditScore,CardType,CreditLimit,OutstandingBalance,AvgMonthlySpend,LatePaymentCount_12m,CashAdvanceCount_12m,RewardPoints,TenureMonths,NumProducts,HasOnlineBanking,HasMobileApp,CustomerServiceCalls_6m,Churn,Churn_Probability,Churn_Prediction,Risk_Level,Churn_Signals,Recommendations
TESTCUST200000,66,Male,Australia,194715,755,Silver,103085,453651,8278,1,0,242770,137,2,No,Yes,2,Yes,0.5533608130999434,Yes,high,None detected,No action needed
TESTCUST200001,23,Male,USA,28318,802,Gold,69647,184787,37854,1,2,180491,54,4,No,No,0,No,0.19838182024946732,No,low,low_tenure: New or short-tenure customer; missing_features: Lacks popular value-added services,"[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Recommend additional services: HasOnlineBanking, HasMobileApp"
TESTCUST200002,49,Female,Canada,120834,398,Silver,301346,459032,8472,1,1,233605,142,1,No,No,2,No,0.38597219322031345,No,medium,missing_features: Lacks popular value-added services,"[MEDIUM] Recommend additional services: HasOnlineBanking, HasMobileApp; [MEDIUM] Offer free trial of value-add features"
TESTCUST200003,55,Male,Australia,26684,810,Silver,407693,79895,69577,1,4,94823,92,1,Yes,Yes,2,No,0.12209579698585875,No,low,high_cost: High charges in AvgMonthlySpend,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
TESTCUST200004,59,Male,UK,218978,531,Gold,496077,495681,19803,5,0,136055,98,1,Yes,Yes,3,Yes,0.7729534632034633,Yes,critical,high_churn_probability: Model predicts high likelihood of churn,[HIGH] Immediate attention required - high churn risk; [HIGH] Schedule proactive customer outreach
TESTCUST200005,38,Male,Canada,101135,578,Gold,69658,209633,38836,3,0,142980,130,2,No,Yes,2,No,0.07646882601414892,No,low,None detected,No action needed
TESTCUST200006,40,Female,Australia,92285,803,Gold,451141,418102,10919,1,0,126203,13,4,Yes,Yes,2,Yes,0.5990759293139992,Yes,high,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200007,63,Male,USA,74860,598,Gold,582484,56065,76160,4,0,38137,81,3,Yes,Yes,3,No,0.07146647596848316,No,low,high_cost: High charges in AvgMonthlySpend,[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%
TESTCUST200008,43,Male,UK,209640,497,Gold,370734,506176,61205,1,3,153458,74,5,Yes,No,7,Yes,0.6953617343598885,Yes,high,None detected,No action needed
TESTCUST200009,54,Female,USA,96848,863,Silver,271835,158542,36332,3,0,104747,17,1,Yes,Yes,0,No,0.07163589478377898,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200010,53,Male,USA,218712,501,Gold,168220,322198,82225,0,2,114980,105,2,No,No,0,No,0.12949456609761115,No,low,high_cost: High charges in AvgMonthlySpend; missing_features: Lacks popular value-added services,"[MEDIUM] Review pricing plan for optimization opportunities; [MEDIUM] Consider loyalty discount: 10-20%; [MEDIUM] Recommend additional services: HasOnlineBanking, HasMobileApp"
TESTCUST200011,70,Female,Canada,180547,615,Silver,411437,212246,51803,4,3,30907,31,2,Yes,Yes,1,No,0.08860062731876191,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200012,68,Female,India,212999,671,Gold,527203,158276,67225,6,0,168991,99,1,Yes,Yes,6,Yes,0.46866666666666673,No,medium,None detected,No action needed
TESTCUST200013,30,Female,UK,77028,811,Silver,486380,208297,30847,0,4,209793,137,2,Yes,Yes,2,No,0.058431090888105,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200014,53,Male,Canada,128781,441,Silver,333863,169155,7474,2,2,60686,38,1,Yes,Yes,6,Yes,0.21638219579957646,No,low,None detected,No action needed
TESTCUST200015,67,Male,India,163891,537,Silver,412966,185013,38689,2,0,244546,103,2,Yes,No,2,No,0.03730818879417336,No,low,None detected,No action needed
TESTCUST200016,53,Male,USA,77789,701,Silver,307570,191123,63094,1,1,170230,14,2,Yes,No,3,No,0.09894378283325805,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200017,68,Female,UK,40907,746,Platinum,436253,311457,63520,3,4,206102,112,4,Yes,Yes,3,No,0.12133151927437641,No,low,None detected,No action needed
TESTCUST200018,46,Male,India,62972,664,Gold,85769,116296,3463,0,1,8395,3,5,Yes,Yes,1,No,0.20411030741410482,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200019,40,Male,Canada,77313,523,Gold,311768,409860,4712,2,1,144573,139,5,Yes,Yes,5,Yes,0.6772115881194829,Yes,high,None detected,No action needed
TESTCUST200020,35,Male,UK,140714,811,Gold,208390,67042,28302,4,0,79375,8,4,Yes,Yes,1,Yes,0.20460203785448947,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200021,57,Female,Australia,215765,642,Silver,188801,541047,10023,0,2,108014,66,5,No,Yes,1,No,0.3584156526667019,No,medium,None detected,No action needed
TESTCUST200022,53,Male,India,130781,600,Gold,434839,76843,34793,2,1,139300,10,5,Yes,Yes,7,No,0.2720885182936432,No,medium,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200023,37,Female,Australia,48361,380,Silver,213189,105763,25590,0,0,26690,4,5,No,Yes,5,No,0.23879761904761895,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200024,25,Male,Canada,174640,355,Silver,440862,425156,33512,1,1,116687,67,5,Yes,Yes,2,No,0.11149408924405323,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200025,70,Female,Australia,67021,858,Silver,596703,459850,60995,1,2,98627,132,4,Yes,Yes,0,No,0.08841849188187861,No,low,None detected,No action needed
TESTCUST200026,24,Female,India,78672,439,Gold,380731,75414,50091,4,2,73919,129,4,Yes,No,1,Yes,0.5052780112044818,Yes,high,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200027,23,Male,Canada,188185,470,Gold,361882,155062,19957,0,1,50428,139,3,Yes,Yes,2,No,0.04763130078122451,No,low,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200028,41,Female,Canada,187739,696,Gold,338761,249173,71672,3,1,5568,19,4,Yes,Yes,2,No,0.037934801320876704,No,low,high_cost: High charges in AvgMonthlySpend; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
TESTCUST200029,60,Female,Australia,59128,364,Gold,280422,336416,17635,0,3,69206,112,3,Yes,Yes,1,No,0.16380602570476516,No,low,None detected,No action needed
TESTCUST200030,23,Male,UK,184700,676,Gold,336215,508602,53621,0,0,164301,3,1,No,Yes,1,No,0.43794011544011546,No,medium,low_tenure: New or short-tenure customer; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200031,41,Female,UK,184869,440,Silver,411802,33437,17690,3,0,31098,5,2,No,Yes,5,Yes,0.5622965367965367,Yes,high,low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints
TESTCUST200032,68,Male,India,45948,820,Platinum,530195,352880,78482,1,0,33277,30,4,Yes,No,1,No,0.10866883369863733,No,low,high_cost: High charges in AvgMonthlySpend; low_tenure: New or short-tenure customer,[HIGH] Assign dedicated onboarding support; [HIGH] Initiate welcome program touchpoints; [MEDIUM] Review pricing plan for optimization opportunities
